mod_mass,total_psm_count,mod_mass_spec_id,code
-15.994915,53208,178,Y[-15.994915]
-15.977156,53067,180,C[-15.977156]
18.037835,52931,458,K/N-term of peptide/R[18.037835]
93.981981,52906,917,S/T/Y[93.981981]
39.994915,52871,608,R[39.994915]
63.979659,52678,800,W[63.979659]
730.264392,52455,2085,N/S/T[730.264392]
22.031969,52374,474,D[22.031969]
129.042593,52120,1093,C[129.042593]
13.979265,52113,367,W[13.979265]
42.058184,51855,642,N[42.058184]
114.042927,51743,1019,K[114.042927]
63.979659,51577,801,C[63.979659]
599.266339,51559,2006,K[599.266339]
1914.697426,50980,2726,N[1914.697426]
163.001791,50870,1304,C/K/R[163.001791]
258.085186,50442,1610,C-term of protein/E[258.085186]
68.0626,50386,810,K/N-term of peptide[68.0626]
-14.01565,49976,194,Q[-14.01565]
372.142033,49821,1824,C[372.142033]
29.026549,49752,528,V[29.026549]
755.296027,49487,2096,S/T[755.296027]
145.019749,49166,1190,K/N-term of protein[145.019749]
44.017274,48768,668,K/N-term of protein[44.017274]
37.031634,48683,596,C-term of peptide/D[37.031634]
119.037114,48535,1040,N-term of peptide[119.037114]
365.132196,48431,1816,N/S/T[365.132196]
31.042199,48231,542,P[31.042199]
-48.0,47834,60,F[-48.0]
70.07825,47659,819,Q[70.07825]
29.978202,47521,533,R[29.978202]
144.042259,47384,1172,K[144.042259]
13.06802,47276,362,D[13.06802]
-50.01565,47160,53,F[-50.01565]
97.016378,47158,929,C/K[97.016378]
1293.471879,46969,2389,C/K[1293.471879]
99.047285,46965,934,S[99.047285]
43.989829,46389,663,W[43.989829]
71.037114,46209,823,C[71.037114]
-46.020735,46064,61,F[-46.020735]
1225.459583,45917,2353,N/S/T[1225.459583]
143.058243,45856,1169,C/K[143.058243]
232.064354,45627,1551,C[232.064354]
1307.512681,45362,2406,S/T[1307.512681]
-43.053433,45291,68,R[-43.053433]
-14.01565,45254,195,T[-14.01565]
55.989829,45201,732,K[55.989829]
106.041865,44943,968,G[106.041865]
-25.085779,44404,129,K[-25.085779]
53.091927,44340,716,C[53.091927]
85.063997,43989,883,A[85.063997]
-25.060626,43746,130,R[-25.060626]
602.205815,43309,2011,S/T[602.205815]
-29.026549,42716,111,K[-29.026549]
70.041865,42695,818,C[70.041865]
66.010565,42454,804,Y[66.010565]
198.981352,42395,1411,C/W[198.981352]
